Country (Name),ASFIS species (Name),FAO major fishing area (Name),Detailed production source (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Australia,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,9,,0,N,0,N,0,N,3,,0,N,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Australia,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,10,,53,,240,,1750,,1750,,2650,,3300,,3500,,4000,,6192,,7647,,7648,,7069,,9195,,10907,,12724,,14356,,15208,,16476,,16780,,20710,,25336,,25736.9,,29893,,31806.79,,36662.04,,43982,,42825.01,,41590.66,,48330.56,,56115.2,,52580.2,,61227,,56989.34,,66918.49,,84045.23,
Bulgaria,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.33,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Canada,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5,,27,,76,,143,,68,,222,,349,,682,,1385,,3431,,5967,,9625,,13499,,17305,,23483,,27773,,33674,,36475,,51015,,49475,,61990,,72495,,95606,,114921,,107228,,96774,,98370,,118061,,102509,,104075,,100212,,101544,,110328,,116101,,97629,,86347,,121926,,123522,,120553,,123184,,118630,,120427,,120186,
Chile,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,243,,521,,395,E,318,E,693,E,485,E,651,E,799,E,2630,,3233,E,9779,,13071,,22073,,21467,,194,,328,,569.56,,493.49,,653,,226,,445,
Chile,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,41,,165,,1860,,9478,,14957,,23715,,29180,,34175,,54250,,77327,,96675,,107066,,103242,,166897,,253607,,265205,,279906,E,348665,E,385086,E,375991,E,330391,E,388048,E,230678,,120000,E,254570,,386607,,470256,,622992,,608352,,531897,,613610.9,,660644.9,,701331,,786905,,724835,
Denmark,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,14,,16,,15,,17,,18,,16,,11,,1.9,,15,,10,,0.2,,10,,405,,428,,1289,,807,,1030,,1462.53,,1940,,1668,
Denmark,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,0,N,1,,1,,0,...,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Faroe Islands,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,E,2,E,5,E,0,...,22,E,45,E,60,E,90,E,117,,940,,1370,,3193,,3400,,7901,,13025,,17914,,18364,,17660,,14868,,8539,,17049,,21103,,19176,,39252,,33508,,46041,,44953,,52526,,40985,,18962,,13078,,22305,,38494,,51383,,45391,,60473,,76564,,75821,,86454,,80600,E,83300,E,86800,E,78900,E,95000,E,88950,E,115650,E
Finland,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3,,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Finland,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,251,,312,,9,,235,,93,,92,,93,,11,,117,,71,,157,,143,,85,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
France,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,350,,350,,350,,400,,400,,300,,300,,110,,110,,102,,0,N,0,...,0,...,0,...,0,...,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
France,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,224,,250,,214,,456,,494,,500,,650,,650,,640,,0,N,90,,443,,544,,735,,1190,,1391,,1100,,1335,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Greece,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3,,11,,19,,12,,33,,20,,30,,74,,7,,9,,12,,11,,9,,17,,23,,28,,9,,7,,6,,11,,8,,8,,22,,10,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...
Iceland,Atlantic salmon,Marine areas,Aquaculture production (brackishwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,396,,548,,518,,553,,226,,243,,1833,,2538,,2428,,622,,294,,330,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Iceland,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...
Iceland,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,1,E,5,E,8,E,13,E,19,E,27,E,39,E,56,E,79,E,107,,91,,123,,490,,1053,,1480,,2716,,2566,,2125,,2348,,2588,,2591,,2832,,2117,,2194,,2382,,2040,,2419,,1228,,1875,,4082,,4060,,4602,,903,,0,,714,,1068,,1083,,2923,,3018,,3965,,3260,,8420,,11265,,13448,,26957,,34341,,46458,
Ireland,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,E,2,E,5,E,10,,10,,13,,21,,35,,100,,257,,385,,700,,1215,,2300,,4075,,5500,,6323,,9300,,9696,,12366,,11616,,11811,,14025,,15441,,14860,,18076,,17648,,23312,,23231,,16347,,14067,,13764,,11174,,9923,,9217,,12210,,15691,,12196,,12440,,9124.9,,9367.6,,13116,,16300,,18342,,11984,,11333,,12870,,12844,
"Korea, Dem. People's Rep",Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,10,E,10,E,15,E,15,E,15,E,20,E,20,E,20,E,50,E,60,E,60,E,60,E,60,E
Norway,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,E,2,E,4,E,8,E,15,E,27,E,50,,98,,146,,171,,601,,862,,1431,,2137,,3540,,4389,,4312,,8418,,10695,,17298,,21881,,29473,,44831,,46453,,78744,,111337,,145990,,154900,,124138,,155581,,202459,,261522,,297557,,332581,,360806,,425154,,440061,,436103,,462495,,509544,,563815,,586512,,629888,,744222,,737694,,862907.7,,939536,,1064868,,1232094.9,,1168324,,1258355.9,,1303345.8,,1233619.2,,1236353,,1282003.2,,1364042.04,,1388433.84,,1562415.01,
Portugal,Atlantic salmon,Marine areas,Aquaculture production (brackishwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,100,,120,,100,,0,N,0,N,0,,0,,4,,250,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Russian Federation,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,4,,0,,3,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...
Russian Federation,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,5,,0,,0,,0,,300,,203,,200,,229,,108,,51,,2126,,4500,,8500,,8754,,22500,,18675,,10834,,12857,,13016,,20566,,32343,,10855,,14959,
Spain,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,12,,3,,0,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...
Spain,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,150,,150,,150,,150,,150,E,150,,355,,553,,782,,562,,909,,695,,726,,851,,798,,618,,226,,323,,150,,15,,12,,0,,0,,0,,0,,110,,79.2,,0,,4,,0,,3.8,,7.79,,5.16,,24.39,,0,...,11.61,,0,...,0,...
Sweden,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Sweden,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,5,E,10,E,15,E,30,E,50,E,50,E,75,E,118,,81,,160,,224,,363,,771,,602,,270,,388,,4,,7,,19,,12,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6,,8,,0,...,1,,0,...,0,...,0,...,0,...,0,...
Switzerland,Atlantic salmon,Inland waters,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,100,E,159.4,,159.4,,160,
TÃ¼rkiye,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,300,,1500,,680,,791,,434,,654,,193,,50,,40,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
United Arab Emirates,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,300,,180,
United Kingdom,Atlantic salmon,Inland waters,Aquaculture production (freshwater),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,2,,0,N,0,N,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,9,,8,,4.5,,4,,6,,6,,9,,3,,0,...,0,...,0,...,0,...,0,...
United Kingdom,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,244,,216,,213,,401,,372,,393,,209,,115,,378,,520,,598,,1133,,2152,,2536,,3912,,6921,,10337,,12721,,17951,,28603,,32004,,40657,,36302,,48791,,64266,,70320,,83342,,99422,,110917,,126686,,128959,,138519,,145609,,145609,E,158099,,129823,,131973,,130104,,128744,,144654,,154625,,158305,,162543,,163234,,179022,,171722,,162817,,189707,,156025,,203881,,192129,,205000,E
United States of America,Atlantic salmon,Marine areas,Aquaculture production (marine),Tonnes - live weight,"TLW, Number",0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,8,,113,,898,,2554,,3185,,6661,,10028,,10750,,10906,,14075,,13906,,18005,,14507,,17739,,22395,,20769,,12734,,16315,,15127,,9401,,10485,,11001,,16714,,14074,,19535,,18595,,19295,,18866,,18719,,18719,,16185,,14685,,16107,,16490.52,,16490.52,,16490.52,E