Year,Production category (tonnes),Number of companies,Total tonnes produced,Total number of staff,Productivity
1993,0-50,39,793,118,7
1993,51-100,18,1342,84,16
1993,101-200,26,3670,161,23
1993,201-300,20,4967,132,38
1993,301-400,6,2098,69,30
1993,401-500,6,2585,52,50
1993,501-700,5,3017,91,33
1993,701-950,4,3321,87,38
1993,951-2000,4,4996,106,47
1993,<2000,4,21902,324,68
1994,0-50,33,417,72,6
1994,51-100,19,1423,77,18
1994,101-200,18,2398,112,21
1994,201-300,12,3115,77,40
1994,301-400,10,3456,59,59
1994,401-500,14,6309,180,35
1994,501-700,9,5227,79,66
1994,701-950,5,3944,51,77
1994,951-2000,7,10289,169,61
1994,<2000,4,27487,369,74
1995,0-50,29,410,56,7
1995,51-100,10,725,43,17
1995,101-200,18,2505,80,31
1995,201-300,20,4870,171,28
1995,301-400,10,3497,70,50
1995,401-500,7,3088,71,43
1995,501-700,9,5468,166,33
1995,701-950,5,4114,57,72
1995,951-2000,5,6968,104,67
1995,<2000,7,38415,537,72
1996,0-100,28,1073,104,10
1996,101-200,17,2551,93,27
1996,201-400,25,7445,168,44
1996,401-700,12,6434,159,40
1996,701-1000,10,8176,124,66
1996,1001-2000,9,13445,196,69
1996,>2000,6,43997,547,80
1997,0-100,15,561,62,9
1997,101-200,20,3080,99,31
1997,201-400,17,5186,87,60
1997,401-700,21,11230,171,66
1997,701-1000,6,6987,99,71
1997,1001-2000,12,16974,195,87
1997,>2000,7,58079,582,100
1998,0-100,25,612,90,7
1998,101-200,9,1432,31,46
1998,201-400,14,4120,70,59
1998,401-700,20,10543,166,64
1998,701-1000,4,3665,53,69
1998,1001-2000,13,15643,182,86
1998,>2000,10,74769,717,104
1999,0-100,26,574,119,5
1999,101-200,8,1151,31,37
1999,201-400,14,3856,75,51
1999,401-700,14,7552,106,71
1999,701-1000,8,6801,100,68
1999,1001-2000,11,16236,123,132
1999,>2000,13,90516,750,121
2000,0-100,30,536,104,5
2000,101-200,6,886,33,27
2000,201-400,11,3487,63,55
2000,401-700,9,5235,68,77
2000,701-1000,7,6198,124,50
2000,1001-2000,12,16950,166,102
2000,>2000,15,95667,839,114
2001,0-100,29,37,103,0.4
2001,101-200,7,686,24,29
2001,201-400,8,2779,71,39
2001,401-700,13,7440,91,82
2001,701-1000,6,5377,50,108
2001,1001-2000,9,12036,112,107
2001,>2000,15,110164,806,137
2002,0-100,24,346,49,7
2002,101-200,4,650,19,34
2002,201-400,11,3464,69,50
2002,401-700,9,4898,56,87
2002,701-1000,7,6215,103,60
2002,1001-2000,14,18892,167,113
2002,>2000,15,110124,843,131
2003,0-100,23,322,42,8
2003,101-200,1,151,5,30
2003,201-400,6,1605,25,64
2003,401-700,6,3183,23,138
2003,701-1000,6,4958,36,138
2003,1001-2000,20,29426,165,178
2003,>2000,19,130091,921,141
2004,0-100,15,55,27,2
2004,101-200,6,941,30,31
2004,201-400,6,1534,29,53
2004,401-700,4,2188,12,182
2004,701-1000,11,9599,82,117
2004,1001-2000,9,12038,77,156
2004,>2000,18,131744,904,146
2005,0-100,13,126,38,3
2005,101-200,3,391,11,36
2005,201-400,6,1712,28,61
2005,401-700,2,927,8,116
2005,701-1000,6,5239,66,79
2005,1001-2000,6,9360,100,94
2005,>2000,14,111833,728,154
2006,0-100,15,67,39,2
2006,101-200,5,826,15,55
2006,201-400,3,977,15,65
2006,401-700,2,1130,22,51
2006,701-1000,4,3440,51,67
2006,1001-2000,4,5832,63,93
2006,>2000,11,119575,666,180
2007,0-100,13,60,37,2
2007,101-200,3,461,13,35
2007,201-400,4,987,22,45
2007,401-700,3,1761,15,117
2007,701-1000,3,2570,58,44
2007,1001-2000,2,2444,26,94
2007,>2000,10,121647,745,163
2008,0-100,14,131,16,8
2008,101-200,4,560,28,20
2008,201-400,2,585,10,59
2008,401-700,2,1003,26,39
2008,701-1000,1,798,4,200
2008,1001-2000,3,3276,64,51
2008,>2000,9,122253,801,153
2009,0-100,11,134,21,6
2009,101-200,3,404,14,29
2009,201-400,2,660,9,73
2009,401-700,1,687,7,98
2009,701-1000,3,2688,39,69
2009,1001-2000,2,2290,39,59
2009,>2000,9,137384,834,165
2010,0-100,11,41,7,6
2010,101-200,3,509,21,24
2010,201-400,1,385,12,32
2010,401-700,2,870,6,145
2010,701-1000,1,955,8,119
2010,1001-2000,3,3911,62,63
2010,>2000,9,147493,948,156
2011,0-100,10,48,14,3
2011,101-200,2,245,13,19
2011,201-400,1,209,6,35
2011,401-700,2,1021,12,85
2011,701-1000,1,753,5,151
2011,1001-2000,2,2277,42,54
2011,>2000,9,153465,921,167
2012,0-100,9,84,14,6
2012,101-200,2,353,12,29
2012,201-400,1,219,6,37
2012,401-700,0,0,0,0
2012,701-1000,1,951,6,159
2012,1001-2000,1,1064,5,213
2012,>2000,8,159552,1016,157
2013,0-100,9,38,17,2
2013,101-200,1,144,7,21
2013,201-400,1,232,3,77
2013,401-700,1,493,2,247
2013,701-1000,1,890,5,178
2013,1001-2000,1,1278,29,44
2013,>2000,7,160159,1117,143
2014,0-100,8,50,18,3
2014,101-200,0,0,0,0
2014,201-400,1,221,3,74
2014,401-700,1,530,31,17
2014,701-1000,1,730,5,146
2014,1001-2000,1,1153,6,192
2014,>2000,6,176338,1262,140
2015,0-100,6,0,1,0
2015,101-200,2,369,20,18
2015,201-400,1,203,4,51
2015,401-700,0,0,0,0
2015,701-1000,0,0,0,0
2015,1001-2000,1,1504,34,44
2015,>2000,6,169646,1304,130
2016,0-100,6,21,14,2
2016,101-200,0,0,0,0
2016,201-400,1,211,4,53
2016,401-700,0,0,0,0
2016,701-1000,1,808,38,21
2016,1001-2000,0,0,0,0
2016,>2000,7,161777,1430,113
2017,0-100,5,26,10,3
2017,101-200,0,0,0,0
2017,201-400,0,0,0,0
2017,401-700,0,0,0,0
2017,701-1000,0,0,0,0
2017,1001-2000,1,1864,31,60
2017,>2000,6,187817,1348,139
2018,0-100,5,35,7,5
2018,101-200,0,0,0,0
2018,201-400,0,0,0,0
2018,401-700,0,0,0,0
2018,701-1000,1,866,35,25
2018,1001-2000,0,0,0,0
2018,>2000,6,155124,1424,109
2019,0-100,4,28,13,2
2019,101-200,0,0,0,0
2019,201-400,0,0,0,0
2019,401-700,0,0,0,0
2019,701-1000,0,0,0,0
2019,1001-2000,1,1636,36,45
2019,>2000,6,202217,1602,126
2020,0-100,4,18,36,0.5
2020,101-200,0,0,0,0
2020,201-400,0,0,0,0
2020,401-700,0,0,0,0
2020,701-1000,0,0,0,0
2020,1001-2000,1,1636,40,43
2020,>2000,6,202217,1554,123
2021,0-100,3,14,16,0.9
2021,101-200,0,0,0,0
2021,201-400,0,0,0,0
2021,401-700,0,0,0,0
2021,701-1000,0,0,0,0
2021,1001-2000,2,2648,65,41
2021,>2000,7,202731,1414,143
2022,0-100,3,17,18,0.9
2022,101-200,0,0,0,0
2022,201-400,0,0,0,0
2022,401-700,0,0,0,0
2022,701-1000,0,0,0,0
2022,1001-2000,1,1127,42,27
2022,>2000,6,168050,1448,116
